user_id,total_spent,num_orders,customer_type,avg_order_value,ltv,cac,net_value
28714765282885780,84.31,1,one-time,84.31,84.31,50.0,34.31
28920166996312450,100.78,1,one-time,100.78,100.78,50.0,50.78
28984301129433960,28.49,1,one-time,28.49,28.49,300.0,-271.51
29131400687020410,889.95,2,repeat,444.975,889.95,50.0,839.95
29534875378731789,1285.0,1,one-time,1285.0,1285.0,50.0,1235.0
29617802319560280,63.84,1,one-time,63.84,63.84,200.0,-136.16
30596413607230095,25.56,1,one-time,25.56,25.56,50.0,-24.44
30600107416389173,8.99,1,one-time,8.99,8.99,50.0,-41.01
31037404193448771,419.11,1,one-time,419.11,419.11,300.0,119.11000000000001
31607904142435840,19.19,1,one-time,19.19,19.19,50.0,-30.81
31812050678769251,18.99,1,one-time,18.99,18.99,50.0,-31.01
32080452871669006,174.36,1,one-time,174.36,174.36,50.0,124.36000000000001
32285388804234573,139.5,1,one-time,139.5,139.5,50.0,89.5
32288790526152703,21.99,1,one-time,21.99,21.99,50.0,-28.01
32417370717978320,57.84,1,one-time,57.84,57.84,50.0,7.840000000000003
32604353961096725,23.49,1,one-time,23.49,23.49,300.0,-276.51
32658239211545930,3.98,1,one-time,3.98,3.98,50.0,-46.02
32664267931257576,39.98,1,one-time,39.98,39.98,300.0,-260.02
32685444859747984,469.87,1,one-time,469.87,469.87,50.0,419.87
33024620802809684,2110.8,1,one-time,2110.8,2110.8,50.0,2060.8
34988778973749269,31.98,1,one-time,31.98,31.98,300.0,-268.02
35322769016923863,374.36,1,one-time,374.36,374.36,50.0,324.36
35660671109530802,132.74,1,one-time,132.74,132.74,50.0,82.74000000000001
36131108463384213,22.79,1,one-time,22.79,22.79,300.0,-277.21
36194035121102485,241.78,1,one-time,241.78,241.78,50.0,191.78
36266427154622625,28.98,1,one-time,28.98,28.98,50.0,-21.02
36417634769000138,120.46000000000001,2,repeat,60.230000000000004,120.46000000000001,50.0,70.46000000000001
36419370338727902,62.15,1,one-time,62.15,62.15,50.0,12.149999999999999
36515130282846944,83.5,1,one-time,83.5,83.5,300.0,-216.5
36617629525523089,20.49,1,one-time,20.49,20.49,200.0,-179.51
36703532725992752,30.39,1,one-time,30.39,30.39,50.0,-19.61
36810350983196519,115.38,1,one-time,115.38,115.38,50.0,65.38
37220895437756047,42.52,1,one-time,42.52,42.52,50.0,-7.479999999999997
37518757923116572,15.99,1,one-time,15.99,15.99,50.0,-34.01
37806222406366969,16.99,1,one-time,16.99,16.99,50.0,-33.010000000000005
38111265827681261,19.97,1,one-time,19.97,19.97,50.0,-30.03
38208004954801781,43.28,1,one-time,43.28,43.28,300.0,-256.72
38212114833888799,41.98,1,one-time,41.98,41.98,50.0,-8.020000000000003
39194810552478835,59.75,1,one-time,59.75,59.75,50.0,9.75
39355803762628039,25.58,1,one-time,25.58,25.58,50.0,-24.42
39400440658825933,74.44,1,one-time,74.44,74.44,50.0,24.439999999999998
39541267107154262,91.84,2,repeat,45.92,91.84,300.0,-208.16
39844092206555576,43.59,1,one-time,43.59,43.59,50.0,-6.409999999999997
40332680018799680,35.6,1,one-time,35.6,35.6,50.0,-14.399999999999999
40361081244991496,144.89,1,one-time,144.89,144.89,50.0,94.88999999999999
41938820295489339,242.96,1,one-time,242.96,242.96,300.0,-57.03999999999999
41955139058139143,276.72,3,repeat,92.24000000000001,276.72,50.0,226.72000000000003
42057117403474149,27.18,1,one-time,27.18,27.18,50.0,-22.82
42122995088591617,86.92,1,one-time,86.92,86.92,300.0,-213.07999999999998
42147785799333528,151.09,1,one-time,151.09,151.09,50.0,101.09
42744959300558986,28.78,1,one-time,28.78,28.78,50.0,-21.22
42872006688710090,11.4,1,one-time,11.4,11.4,50.0,-38.6
43584487743669327,150.0,1,one-time,150.0,150.0,50.0,100.0
43770390702768717,223.95,1,one-time,223.95,223.95,50.0,173.95
43984908262145271,87.99,1,one-time,87.99,87.99,50.0,37.989999999999995
44206379216818403,41.99,1,one-time,41.99,41.99,50.0,-8.009999999999998
44860406295705915,39.98,1,one-time,39.98,39.98,50.0,-10.020000000000003
44869357011346837,57.97,1,one-time,57.97,57.97,50.0,7.969999999999999
45204488424585972,59.97,1,one-time,59.97,59.97,50.0,9.969999999999999
45411762601202035,32.98,1,one-time,32.98,32.98,50.0,-17.020000000000003
45695832453548364,184.31,2,repeat,92.155,184.31,50.0,134.31
47078955120420928,43.16,1,one-time,43.16,43.16,50.0,-6.840000000000003
47096740790346861,1679.72,1,one-time,1679.72,1679.72,50.0,1629.72
47471876951764213,13.59,1,one-time,13.59,13.59,50.0,-36.41
47507722101025881,58.99,1,one-time,58.99,58.99,300.0,-241.01
47509547902079820,21.56,1,one-time,21.56,21.56,50.0,-28.44
47511660497565285,96.49,1,one-time,96.49,96.49,300.0,-203.51
47868538532140235,117.94,1,one-time,117.94,117.94,50.0,67.94
48002411086393228,21.31,1,one-time,21.31,21.31,50.0,-28.69
48315652365779540,59.99,1,one-time,59.99,59.99,50.0,9.990000000000002
49618887282998852,36.98,1,one-time,36.98,36.98,300.0,-263.02
49628940161747998,11.96,1,one-time,11.96,11.96,50.0,-38.04
49832664882617771,44.79,1,one-time,44.79,44.79,50.0,-5.210000000000001
51204193313789401,33.56,1,one-time,33.56,33.56,50.0,-16.439999999999998
51257374560700342,245.54,1,one-time,245.54,245.54,50.0,195.54
51312971389642254,118.63,1,one-time,118.63,118.63,50.0,68.63
51516119104547275,27.19,1,one-time,27.19,27.19,300.0,-272.81
52757360225662149,70.15,1,one-time,70.15,70.15,300.0,-229.85
52868681653220057,45.97,1,one-time,45.97,45.97,50.0,-4.030000000000001
52947395050573230,36.95,1,one-time,36.95,36.95,300.0,-263.05
53010816158486672,56.78,1,one-time,56.78,56.78,50.0,6.780000000000001
53077699040878872,18.99,1,one-time,18.99,18.99,50.0,-31.01
53534274976399191,147.97,1,one-time,147.97,147.97,50.0,97.97
53544367470918772,727.38,1,one-time,727.38,727.38,200.0,527.38
53866968780969645,19.99,1,one-time,19.99,19.99,50.0,-30.01
54279989591037024,79.19,1,one-time,79.19,79.19,50.0,29.189999999999998
54330779667294142,35.98,1,one-time,35.98,35.98,50.0,-14.020000000000003
54391506396728030,29.9,1,one-time,29.9,29.9,50.0,-20.1
54635571205456448,6.99,1,one-time,6.99,6.99,300.0,-293.01
54873055567921661,55.96,1,one-time,55.96,55.96,50.0,5.960000000000001
55230885834366137,128.47,1,one-time,128.47,128.47,300.0,-171.53
55571790399340202,75.44,1,one-time,75.44,75.44,50.0,25.439999999999998
55817731640677436,18.99,1,one-time,18.99,18.99,50.0,-31.01
56623046680377668,19.99,1,one-time,19.99,19.99,50.0,-30.01
56746998029721050,539.25,1,one-time,539.25,539.25,300.0,239.25
57074893306125434,215.7,1,one-time,215.7,215.7,50.0,165.7
57216119262557235,319.25,1,one-time,319.25,319.25,50.0,269.25
57601461431341521,239.0,1,one-time,239.0,239.0,50.0,189.0
57601503302114470,39.15,1,one-time,39.15,39.15,50.0,-10.850000000000001
57693500927581077,558.5,1,one-time,558.5,558.5,50.0,508.5
57826677844639343,17.59,1,one-time,17.59,17.59,50.0,-32.41
58062449645143625,191.1,1,one-time,191.1,191.1,50.0,141.1
59545191328861629,83.77,1,one-time,83.77,83.77,50.0,33.769999999999996
60208176042336566,49.99,1,one-time,49.99,49.99,50.0,-0.00999999999999801
60402135554655326,383.18,2,repeat,191.59,383.18,50.0,333.18
60552898118020687,135.13,1,one-time,135.13,135.13,50.0,85.13
60637300837021971,27.98,1,one-time,27.98,27.98,300.0,-272.02
60707564057653567,94.21,1,one-time,94.21,94.21,300.0,-205.79000000000002
60709694942461401,89.55,1,one-time,89.55,89.55,50.0,39.55
60802643524541285,16.99,1,one-time,16.99,16.99,50.0,-33.010000000000005
60873674881142784,39.17,1,one-time,39.17,39.17,50.0,-10.829999999999998
61519776091452595,13.43,1,one-time,13.43,13.43,300.0,-286.57
61548717459564263,56.77,1,one-time,56.77,56.77,50.0,6.770000000000003
61892085087294527,23.99,1,one-time,23.99,23.99,50.0,-26.01
62231184035350130,0.0,3,repeat,0.0,0.0,50.0,-50.0
62301548425288744,210.68,1,one-time,210.68,210.68,50.0,160.68
62337808774510362,499.03,1,one-time,499.03,499.03,50.0,449.03
62398744583501057,25.17,1,one-time,25.17,25.17,50.0,-24.83
62722204677243801,30.39,1,one-time,30.39,30.39,50.0,-19.61
63411837669447330,7.97,1,one-time,7.97,7.97,200.0,-192.03
63706256894298571,91.97,1,one-time,91.97,91.97,50.0,41.97
63736161805998675,33.98,1,one-time,33.98,33.98,300.0,-266.02
64739735733627926,151.87,1,one-time,151.87,151.87,300.0,-148.13
65245131914018329,17.59,1,one-time,17.59,17.59,50.0,-32.41
66547844041573580,16.46,1,one-time,16.46,16.46,200.0,-183.54
67046950690742012,59.87,1,one-time,59.87,59.87,50.0,9.869999999999997
67144867645757015,6.99,1,one-time,6.99,6.99,50.0,-43.01
67427211374180015,46.37,1,one-time,46.37,46.37,50.0,-3.6300000000000026
67475292701707948,19.42,1,one-time,19.42,19.42,50.0,-30.58
67516997967648879,150.62,3,repeat,50.20666666666667,150.62,50.0,100.62
67566216922331849,38.38,1,one-time,38.38,38.38,50.0,-11.619999999999997
67586620214837441,7.98,1,one-time,7.98,7.98,300.0,-292.02
68301324269312205,83.98,1,one-time,83.98,83.98,300.0,-216.01999999999998
68337214858488115,35.18,1,one-time,35.18,35.18,50.0,-14.82
68437640696494161,197.7,1,one-time,197.7,197.7,50.0,147.7
68546456225736307,14.97,1,one-time,14.97,14.97,50.0,-35.03
68590151265795437,621.75,1,one-time,621.75,621.75,50.0,571.75
68932429089394729,24.97,1,one-time,24.97,24.97,300.0,-275.03
69147671341681060,31.17,1,one-time,31.17,31.17,50.0,-18.83
69563023975860043,59.95,2,repeat,29.975,59.95,50.0,9.950000000000003
69780920436052632,479.6,1,one-time,479.6,479.6,50.0,429.6
69932627935135372,22.15,1,one-time,22.15,22.15,50.0,-27.85
69975515256019300,46.37,1,one-time,46.37,46.37,50.0,-3.6300000000000026
70622933908011467,89.58,1,one-time,89.58,89.58,50.0,39.58
70749496194697211,154.91,1,one-time,154.91,154.91,50.0,104.91
70893140406305841,131.85,1,one-time,131.85,131.85,50.0,81.85
70976956518566605,366.66,1,one-time,366.66,366.66,50.0,316.66
71298010648822329,283.46000000000004,3,repeat,94.48666666666668,283.46000000000004,50.0,233.46000000000004
71731629789524187,54.97,1,one-time,54.97,54.97,50.0,4.969999999999999
71915269577377513,132.51,2,repeat,66.255,132.51,300.0,-167.49
72256802357894342,15.99,1,one-time,15.99,15.99,50.0,-34.01
72595322994470645,384.55,3,repeat,128.18333333333334,384.55,50.0,334.55
72816889761746008,23.92,1,one-time,23.92,23.92,300.0,-276.08
72871379479619546,207.55,1,one-time,207.55,207.55,300.0,-92.44999999999999
72871522029318255,3.98,1,one-time,3.98,3.98,200.0,-196.02
72965257504694282,16.79,1,one-time,16.79,16.79,50.0,-33.21
74075706296764845,28.26,1,one-time,28.26,28.26,50.0,-21.74
74650632244292633,15.39,1,one-time,15.39,15.39,300.0,-284.61
74766195217803929,176.9,1,one-time,176.9,176.9,300.0,-123.1
75015293465008373,20.5,1,one-time,20.5,20.5,300.0,-279.5
75154193118539969,33.98,1,one-time,33.98,33.98,50.0,-16.020000000000003
75338234785752253,47.1,1,one-time,47.1,47.1,200.0,-152.9
75449012662152580,38.62,1,one-time,38.62,38.62,50.0,-11.380000000000003
76255265047374256,12.31,1,one-time,12.31,12.31,50.0,-37.69
76529729049367813,59.99,1,one-time,59.99,59.99,50.0,9.990000000000002
77222285299709169,25.97,1,one-time,25.97,25.97,300.0,-274.03
77910788641080085,155.97,2,repeat,77.985,155.97,50.0,105.97
79204932396995037,7047.15,2,repeat,3523.575,7047.15,175.0,6872.15
79363053947930450,34.91,1,one-time,34.91,34.91,300.0,-265.09000000000003
79455793222269162,33.54,1,one-time,33.54,33.54,50.0,-16.46
79475762358903551,474.75,1,one-time,474.75,474.75,50.0,424.75
79656074413776629,33.57,2,repeat,16.785,33.57,50.0,-16.43
79827535407240779,178.72,2,repeat,89.36,178.72,50.0,128.72
79867210646960655,38.98,1,one-time,38.98,38.98,50.0,-11.020000000000003
80317544461352905,57.52,1,one-time,57.52,57.52,50.0,7.520000000000003
80479763428955064,141.96,1,one-time,141.96,141.96,300.0,-158.04
80533986466271934,50.74,1,one-time,50.74,50.74,200.0,-149.26
81281456829886913,78.71,1,one-time,78.71,78.71,300.0,-221.29000000000002
81556422471965129,38.16,1,one-time,38.16,38.16,50.0,-11.840000000000003
81840705529000272,119.96,1,one-time,119.96,119.96,50.0,69.96
81985686030532619,342.62,1,one-time,342.62,342.62,50.0,292.62
82234340449923799,115.32,1,one-time,115.32,115.32,300.0,-184.68
82422266360134560,17.18,1,one-time,17.18,17.18,50.0,-32.82
82806901961150595,169.27,1,one-time,169.27,169.27,50.0,119.27000000000001
83055806370747628,22.93,1,one-time,22.93,22.93,50.0,-27.07
83964139069484153,19.19,1,one-time,19.19,19.19,50.0,-30.81
84372863075461291,77.81,1,one-time,77.81,77.81,50.0,27.810000000000002
84383590795093998,64.36,1,one-time,64.36,64.36,50.0,14.36
84741906853491251,87.99,1,one-time,87.99,87.99,50.0,37.989999999999995
84834161383601528,40.48,1,one-time,40.48,40.48,50.0,-9.520000000000003
85057281729508802,34.37,1,one-time,34.37,34.37,50.0,-15.630000000000003
85193654581094288,41.29,1,one-time,41.29,41.29,50.0,-8.71
85319952392271706,79.34,1,one-time,79.34,79.34,50.0,29.340000000000003
85830972238265715,86.87,1,one-time,86.87,86.87,300.0,-213.13
85857472938612779,18.39,1,one-time,18.39,18.39,200.0,-181.61
86102919761743448,25.82,1,one-time,25.82,25.82,50.0,-24.18
86382053515995633,103.14,1,one-time,103.14,103.14,50.0,53.14
86439549065030167,39.95,1,one-time,39.95,39.95,50.0,-10.049999999999997
87422696443112888,73.45,1,one-time,73.45,73.45,50.0,23.450000000000003
87919605807565397,22.98,1,one-time,22.98,22.98,50.0,-27.02
88657980877164102,67.19,1,one-time,67.19,67.19,50.0,17.189999999999998
88808220383842202,196.42,1,one-time,196.42,196.42,50.0,146.42
88945266147609238,691.45,2,repeat,345.725,691.45,175.0,516.45
89261173995807343,35.98,1,one-time,35.98,35.98,300.0,-264.02
89893008278013433,11.97,1,one-time,11.97,11.97,300.0,-288.03
90053188432158994,33.59,1,one-time,33.59,33.59,50.0,-16.409999999999997
90327840318017838,12.98,1,one-time,12.98,12.98,50.0,-37.019999999999996
91281264079346677,20.62,1,one-time,20.62,20.62,300.0,-279.38
91725120799498455,15.19,1,one-time,15.19,15.19,50.0,-34.81
91784190289128568,33.98,1,one-time,33.98,33.98,50.0,-16.020000000000003
91992348252102887,78.64,1,one-time,78.64,78.64,50.0,28.64
92577710025173656,1148.99,2,repeat,574.495,1148.99,175.0,973.99
92787485928461155,73.9,1,one-time,73.9,73.9,50.0,23.900000000000006
92836986022494187,67.18,1,one-time,67.18,67.18,50.0,17.180000000000007
93310453484553750,27.19,1,one-time,27.19,27.19,50.0,-22.81
94024465151480107,35.98,1,one-time,35.98,35.98,50.0,-14.020000000000003
94073617799666175,34.79,1,one-time,34.79,34.79,50.0,-15.21
94314192369270538,46.37,1,one-time,46.37,46.37,50.0,-3.6300000000000026
94901025743788716,80.63,1,one-time,80.63,80.63,50.0,30.629999999999995
95069773067468232,24.99,1,one-time,24.99,24.99,300.0,-275.01
95747507496204221,2365.5,1,one-time,2365.5,2365.5,200.0,2165.5
96138798737237315,63.98,1,one-time,63.98,63.98,50.0,13.979999999999997
96749416396933823,30.62,1,one-time,30.62,30.62,50.0,-19.38
96830421763570474,259.9,1,one-time,259.9,259.9,50.0,209.89999999999998
96843987855909025,92.02,1,one-time,92.02,92.02,50.0,42.019999999999996
97021672781707916,57.58,1,one-time,57.58,57.58,50.0,7.579999999999998
97216552247524030,26.48,1,one-time,26.48,26.48,50.0,-23.52
97371986665596420,472.28,2,repeat,236.14,472.28,50.0,422.28
97563825178820508,28.78,1,one-time,28.78,28.78,300.0,-271.22
99448207973363509,16.99,1,one-time,16.99,16.99,50.0,-33.010000000000005
99879093370825436,35.0,1,one-time,35.0,35.0,50.0,-15.0
100290510717383378,23.98,1,one-time,23.98,23.98,50.0,-26.02
101246539776970727,294.58,2,repeat,147.29,294.58,50.0,244.57999999999998
101514212085223206,36.11,1,one-time,36.11,36.11,300.0,-263.89
102127042498450827,38.36,2,repeat,19.18,38.36,50.0,-11.64
102527091741838919,123.16,1,one-time,123.16,123.16,50.0,73.16
102929360833194213,86.22,1,one-time,86.22,86.22,50.0,36.22
102967551018757579,54.93,1,one-time,54.93,54.93,200.0,-145.07
103234801488366057,69.92,1,one-time,69.92,69.92,300.0,-230.07999999999998
103488992784926412,63.94,1,one-time,63.94,63.94,50.0,13.939999999999998
104208155752393756,47.97,1,one-time,47.97,47.97,50.0,-2.030000000000001
105953259825061684,33.59,1,one-time,33.59,33.59,50.0,-16.409999999999997
106737648841708519,71.99,1,one-time,71.99,71.99,50.0,21.989999999999995
107029174520648874,15.59,1,one-time,15.59,15.59,50.0,-34.41
109278995741921995,72.87,1,one-time,72.87,72.87,200.0,-127.13
109375183949292344,12.87,1,one-time,12.87,12.87,300.0,-287.13
110237584337011595,1951.55,1,one-time,1951.55,1951.55,50.0,1901.55
110888394822957190,18.99,1,one-time,18.99,18.99,300.0,-281.01
111084999408344922,27.95,1,one-time,27.95,27.95,300.0,-272.05
111261597665013586,18.33,1,one-time,18.33,18.33,50.0,-31.67
111624627546859050,110.98,1,one-time,110.98,110.98,50.0,60.980000000000004
112305056557684257,370.79999999999995,2,repeat,185.39999999999998,370.79999999999995,50.0,320.79999999999995
112712853580593351,21.27,1,one-time,21.27,21.27,50.0,-28.73
113842242927238752,172.72,1,one-time,172.72,172.72,50.0,122.72
114215561909122661,509.7,1,one-time,509.7,509.7,50.0,459.7
114233892855684794,280.7,1,one-time,280.7,280.7,50.0,230.7
114291970451691046,28.6,1,one-time,28.6,28.6,50.0,-21.4
114308184877865561,13.98,1,one-time,13.98,13.98,50.0,-36.019999999999996
114365990396544051,127.98,1,one-time,127.98,127.98,50.0,77.98
114893528564579143,26.98,1,one-time,26.98,26.98,50.0,-23.02
115494075054963031,4.96,1,one-time,4.96,4.96,50.0,-45.04
115940065332308119,109.15,1,one-time,109.15,109.15,50.0,59.150000000000006
116147939572219012,79.8,1,one-time,79.8,79.8,300.0,-220.2
116189328741483178,59.99,1,one-time,59.99,59.99,50.0,9.990000000000002
116430981904323422,25.98,1,one-time,25.98,25.98,50.0,-24.02
117006987850476291,3.98,1,one-time,3.98,3.98,50.0,-46.02
117526410729664708,16.99,1,one-time,16.99,16.99,300.0,-283.01
118139814032445850,71.16,1,one-time,71.16,71.16,50.0,21.159999999999997
119870259714905967,3989.21,5,repeat,797.842,3989.21,50.0,3939.21
120266359617148298,23.5,1,one-time,23.5,23.5,50.0,-26.5
120815826861008901,15.19,1,one-time,15.19,15.19,50.0,-34.81
120880613308281459,87.99,1,one-time,87.99,87.99,50.0,37.989999999999995
120951074287268149,116.47999999999999,2,repeat,58.239999999999995,116.47999999999999,50.0,66.47999999999999
121856061140944855,40.48,1,one-time,40.48,40.48,300.0,-259.52
123061672608906745,21.99,1,one-time,21.99,21.99,50.0,-28.01
123242859437730802,339.5,1,one-time,339.5,339.5,50.0,289.5
123515470539381845,194.98,1,one-time,194.98,194.98,50.0,144.98
123644124068077489,37.98,1,one-time,37.98,37.98,300.0,-262.02
123916055895596958,74.43,1,one-time,74.43,74.43,300.0,-225.57
124850203340830679,324.24,1,one-time,324.24,324.24,50.0,274.24
126078863044975242,38.49,1,one-time,38.49,38.49,50.0,-11.509999999999998
126511061239826414,349.11,1,one-time,349.11,349.11,300.0,49.110000000000014
126587065113364520,68.85,1,one-time,68.85,68.85,50.0,18.849999999999994
126612099954375841,1000.78,1,one-time,1000.78,1000.78,50.0,950.78
127019947788366078,27.93,1,one-time,27.93,27.93,50.0,-22.07
127249576187763439,229.16,1,one-time,229.16,229.16,50.0,179.16
127755228974756313,100.77,1,one-time,100.77,100.77,50.0,50.769999999999996
128432477990891906,263.7,1,one-time,263.7,263.7,50.0,213.7
128830210468179660,83.14999999999999,3,repeat,27.716666666666665,83.14999999999999,233.33333333333334,-150.18333333333334
129249086143937145,78.35,1,one-time,78.35,78.35,50.0,28.349999999999994
129621051269020257,19.19,1,one-time,19.19,19.19,200.0,-180.81
131875932724045086,62.37,1,one-time,62.37,62.37,50.0,12.369999999999997
132607078854874041,31.99,1,one-time,31.99,31.99,50.0,-18.01
133153998054254261,15.99,1,one-time,15.99,15.99,50.0,-34.01
134088266984701296,20.09,1,one-time,20.09,20.09,50.0,-29.91
134543573456503980,246.19,3,repeat,82.06333333333333,246.19,100.0,146.19
134706903159877912,184.58,1,one-time,184.58,184.58,50.0,134.58
134817585377058947,278.03,2,repeat,139.015,278.03,50.0,228.02999999999997
135432212707864703,35.98,1,one-time,35.98,35.98,200.0,-164.02
135731445166621856,44.4,1,one-time,44.4,44.4,50.0,-5.600000000000001
136876972401975041,0.04,1,one-time,0.04,0.04,300.0,-299.96
138119430456484693,16.28,1,one-time,16.28,16.28,300.0,-283.72
138351554340162956,7.98,1,one-time,7.98,7.98,50.0,-42.019999999999996
138687086866157685,119.5,1,one-time,119.5,119.5,300.0,-180.5
139256351437404200,91.97,1,one-time,91.97,91.97,300.0,-208.03
139472357811670278,63.55,1,one-time,63.55,63.55,300.0,-236.45
139838509739212862,63.95,1,one-time,63.95,63.95,50.0,13.950000000000003
140251351786321746,18.99,1,one-time,18.99,18.99,50.0,-31.01
140406319378490383,76.77,1,one-time,76.77,76.77,50.0,26.769999999999996
141333337786935920,74.95,1,one-time,74.95,74.95,50.0,24.950000000000003
142116411233847758,68.53,1,one-time,68.53,68.53,50.0,18.53
143782636543876435,75.98,1,one-time,75.98,75.98,50.0,25.980000000000004
